POLICY_CLAIM_NUMBER	POLICY_EFF_DT	INSURANCE_TYPE	CLAIM_STATUS	ANY_INJURY	POLICE_REPORT_AVAILABLE	INCIDENT_HOUR_OF_THE_DAY
PLC00001190	3/17/2013	Health	A	1	1	13
PLC00001615	7/11/2014	Property	A	1	1	18
PLC00007720	9/7/2013	Motor	A	1	1	20
PLC00001469	8/31/2018	Health	D	1	1	13
PLC00004550	11/1/2013	Travel	A	0	1	3
PLC00009291	9/28/2017	Motor	A	0	1	5
PLC00002103	6/29/2013	Life	A	1	1	21
PLC00000777	7/13/2013	Health	A	1	0	1
PLC00000820	11/8/2014	Travel	A	0	1	5
PLC00009260	9/16/2016	Health	A	1	0	15
PLC00000057	11/15/2010	Mobile	A	0	0	13
PLC00004107	11/30/2019	Travel	A	1	0	0
PLC00000868	9/27/2016	Life	A	0	0	21
PLC00006368	3/19/2014	Property	A	0	1	1
PLC00000625	12/8/2016	Mobile	A	1	1	18
PLC00000230	7/7/2011	Property	A	1	0	22
PLC00002660	3/5/2015	Health	A	1	1	3
PLC00009872	6/6/2012	Mobile	A	0	1	23
PLC00005729	10/8/2010	Travel	A	1	1	8
PLC00006056	7/13/2018	Motor	A	1	0	0
PLC00008797	3/28/2013	Mobile	A	1	0	10
PLC00008965	2/20/2015	Life	A	1	1	5
PLC00001009	6/26/2013	Mobile	A	0	1	5
PLC00009232	6/9/2011	Mobile	A	0	1	17
PLC00007947	7/10/2011	Mobile	A	1	1	20
PLC00002065	5/10/2012	Mobile	A	0	1	5
PLC00000547	8/13/2018	Motor	A	1	1	3
PLC00008927	9/3/2013	Health	A	1	1	6
PLC00002150	8/15/2014	Mobile	A	0	1	18
PLC00002101	6/20/2010	Mobile	A	1	1	9
PLC00002525	4/26/2016	Health	A	0	1	20
PLC00005015	10/26/2010	Travel	A	1	1	0
PLC00006089	1/3/2019	Life	A	1	1	4
PLC00001688	2/11/2019	Health	A	1	1	1
PLC00009278	11/29/2019	Travel	A	1	1	16
PLC00002117	2/5/2013	Mobile	A	1	0	3
PLC00006205	6/6/2012	Travel	A	1	0	12
PLC00005577	8/25/2014	Motor	A	1	1	19
PLC00007409	8/29/2015	Travel	A	1	1	18
PLC00009658	6/13/2013	Travel	A	1	1	9
PLC00008238	3/25/2014	Life	D	1	1	3
PLC00007038	5/23/2014	Travel	A	1	0	16
PLC00001537	10/14/2019	Life	A	0	1	7
PLC00005864	4/12/2018	Travel	A	0	0	12
PLC00009561	4/24/2011	Travel	A	1	1	16
PLC00003163	3/30/2012	Travel	A	1	1	5
PLC00006448	11/3/2016	Mobile	A	1	0	6
PLC00003118	5/24/2012	Health	A	1	1	21
PLC00003810	1/10/2017	Life	A	0	1	22
PLC00003762	3/16/2019	Health	A	0	1	6
PLC00004666	2/28/2017	Travel	A	0	1	14
PLC00008172	8/28/2010	Property	A	1	1	17
PLC00007288	8/15/2012	Motor	A	0	1	8
PLC00000496	11/23/2016	Life	A	0	1	2
PLC00000589	6/4/2017	Motor	A	1	1	4
PLC00000349	4/15/2014	Health	A	1	1	15
PLC00007216	1/7/2012	Health	A	1	1	7
PLC00005873	1/20/2011	Life	A	0	1	15
PLC00007972	7/27/2015	Life	A	0	1	8
PLC00003309	3/25/2018	Mobile	A	0	1	20
PLC00003508	8/7/2017	Life	A	1	0	2
PLC00008191	2/12/2014	Motor	A	0	0	10
PLC00001161	2/12/2018	Life	A	0	0	6
PLC00005318	1/10/2017	Life	A	0	1	0
PLC00009382	12/11/2014	Property	A	0	0	12
PLC00007014	2/6/2011	Health	A	0	1	23
PLC00005353	1/15/2012	Mobile	A	1	0	5
PLC00003088	3/29/2011	Health	A	1	1	7
PLC00008106	9/21/2014	Life	A	1	0	4
PLC00009940	7/10/2015	Travel	A	1	0	18
PLC00008824	11/28/2012	Property	A	0	1	15
PLC00005261	7/12/2010	Travel	A	0	1	10
PLC00009454	4/13/2016	Mobile	A	0	1	15
PLC00009770	9/16/2010	Mobile	A	1	0	1
PLC00001783	7/16/2010	Motor	A	0	1	21
PLC00005691	12/10/2010	Health	A	1	1	1
PLC00002597	1/5/2016	Property	A	1	1	20
PLC00009392	1/15/2015	Motor	A	0	0	1
PLC00005476	11/17/2018	Health	A	1	0	18
PLC00006472	3/6/2014	Travel	A	1	1	15
PLC00001507	5/5/2013	Motor	A	0	1	12
PLC00000055	1/4/2013	Property	A	0	1	20
PLC00008815	3/30/2016	Mobile	D	1	1	5
PLC00007882	7/2/2014	Travel	A	0	1	11
PLC00001105	1/6/2013	Motor	A	1	1	16
PLC00003923	9/23/2012	Travel	A	0	1	13
PLC00007514	10/14/2010	Health	A	0	0	8
PLC00001649	5/2/2011	Property	A	0	1	22
PLC00001987	12/22/2012	Mobile	A	0	1	20
PLC00000609	4/3/2017	Health	A	1	0	2
PLC00003901	9/20/2012	Mobile	A	1	1	16
PLC00005408	8/6/2015	Property	A	1	1	15
PLC00008479	5/29/2015	Property	D	1	1	10
PLC00002815	12/20/2019	Property	A	1	1	6
PLC00008270	1/8/2019	Mobile	A	1	1	1
PLC00000534	9/2/2016	Property	A	1	0	8
PLC00006370	3/2/2018	Travel	A	1	1	5
PLC00002750	8/16/2014	Mobile	A	1	1	2
PLC00001775	5/14/2014	Mobile	A	1	1	8
PLC00004043	7/15/2016	Health	D	1	0	21
PLC00007608	4/23/2013	Property	D	0	0	19
PLC00008961	2/28/2019	Travel	A	1	1	5
PLC00000282	10/6/2014	Health	A	1	0	11
PLC00008651	10/20/2016	Mobile	A	1	0	17
PLC00002052	4/25/2013	Travel	A	1	1	23
PLC00000011	9/26/2013	Life	A	0	1	8
PLC00006891	9/18/2012	Health	A	1	0	21
PLC00002812	2/17/2016	Motor	A	1	1	15
PLC00002022	7/22/2018	Mobile	A	1	1	16
PLC00005110	7/30/2018	Motor	A	1	0	20
PLC00006147	7/10/2011	Mobile	A	1	1	15
PLC00005250	12/29/2015	Motor	A	1	1	14
PLC00005080	1/19/2014	Property	A	1	0	5
PLC00002296	1/12/2019	Travel	A	1	0	7
PLC00007506	9/30/2012	Travel	A	1	1	0
PLC00002053	7/28/2016	Property	A	0	1	1
PLC00004132	1/14/2019	Health	A	1	0	7
PLC00004206	4/28/2018	Travel	A	0	1	7
PLC00009346	8/2/2010	Life	A	0	1	1
PLC00000634	4/5/2015	Property	A	1	1	8
PLC00006928	12/31/2015	Property	A	0	0	17
PLC00005702	6/4/2014	Motor	A	1	1	13
PLC00005799	4/19/2018	Property	A	0	1	11
PLC00005574	3/30/2013	Property	A	1	0	19
PLC00000064	5/6/2015	Property	A	1	1	11
PLC00009035	5/22/2011	Life	A	1	1	13
PLC00002120	10/24/2018	Motor	A	1	1	11
PLC00004896	10/11/2012	Health	A	0	1	12
PLC00005672	1/4/2018	Mobile	A	1	1	17
PLC00009784	4/20/2012	Travel	A	1	1	15
PLC00005504	11/30/2015	Health	A	1	1	18
PLC00002639	10/17/2011	Health	A	1	1	1
PLC00009967	1/6/2017	Health	D	1	0	8
PLC00002146	2/20/2017	Motor	A	0	1	0
PLC00003623	10/23/2016	Travel	A	0	1	6
PLC00007039	8/1/2010	Health	D	1	1	8
PLC00002807	8/4/2011	Health	A	1	1	11
PLC00000765	12/31/2013	Motor	A	0	1	0
PLC00008752	4/20/2017	Health	A	1	1	2
PLC00000073	6/20/2013	Mobile	A	0	1	4
PLC00004850	9/25/2012	Health	A	0	0	1
PLC00002497	4/9/2013	Motor	A	1	1	8
PLC00000805	5/15/2014	Life	A	1	0	20
PLC00009484	5/8/2018	Motor	A	0	0	17
PLC00008831	2/19/2017	Mobile	A	1	1	22
PLC00001125	4/11/2019	Mobile	A	0	1	17
PLC00004166	2/8/2013	Life	A	1	0	15
PLC00007877	11/20/2011	Motor	A	0	1	22
PLC00007855	9/9/2014	Motor	A	1	1	12
PLC00007865	5/13/2014	Travel	A	1	0	22
PLC00006835	12/15/2012	Property	A	1	1	5
PLC00009149	11/5/2012	Property	A	1	1	22
PLC00001355	5/20/2013	Life	D	1	1	13
PLC00001941	11/17/2013	Health	A	1	0	23
PLC00003788	7/14/2018	Travel	A	1	0	17
PLC00003906	2/14/2012	Health	A	0	0	7
PLC00003289	1/26/2014	Health	A	1	0	19
PLC00006194	3/8/2013	Health	A	0	1	23
PLC00004562	12/16/2013	Travel	A	0	0	10
PLC00006661	3/31/2012	Mobile	A	0	1	3
PLC00008586	11/1/2014	Health	D	0	1	10
PLC00008149	1/11/2018	Mobile	A	1	1	16
PLC00009100	8/12/2019	Travel	A	0	0	23
PLC00009508	4/2/2017	Travel	A	1	0	14
PLC00009659	3/11/2013	Property	A	1	0	14
PLC00007012	2/11/2014	Property	A	0	1	12
PLC00006042	1/14/2016	Health	A	0	0	14
PLC00003724	5/3/2014	Life	A	0	1	12
PLC00005546	6/9/2018	Life	A	1	1	21
PLC00002157	5/11/2013	Mobile	A	1	1	11
PLC00000319	7/25/2016	Health	A	1	1	15
PLC00000719	12/25/2019	Travel	A	1	0	10
PLC00004027	11/18/2016	Mobile	A	1	0	11
PLC00000940	10/9/2013	Health	A	1	1	4
PLC00008945	12/18/2019	Motor	A	0	1	4
PLC00003992	8/30/2018	Property	A	1	1	4
PLC00002206	6/8/2010	Mobile	A	1	0	20
PLC00009220	2/6/2013	Travel	A	0	1	21
PLC00003276	12/18/2010	Mobile	A	1	1	3
PLC00002104	1/31/2018	Health	A	1	1	17
PLC00008503	12/18/2016	Life	A	1	0	22
PLC00005214	6/28/2018	Travel	A	0	1	19
PLC00008708	6/12/2018	Life	A	1	1	4
PLC00001440	11/25/2014	Life	A	0	1	13
PLC00008068	10/18/2019	Mobile	A	1	0	14
PLC00003219	11/13/2015	Motor	A	0	1	5
PLC00005796	5/19/2014	Property	A	1	1	23
PLC00003973	7/14/2017	Property	A	1	0	14
PLC00008914	2/17/2017	Property	A	1	0	21
PLC00002707	9/2/2010	Life	A	0	1	23
PLC00002168	2/16/2013	Mobile	A	1	1	4
PLC00005488	3/21/2019	Travel	A	0	0	10
PLC00001848	2/12/2018	Health	A	0	1	22
PLC00001393	10/17/2016	Travel	A	1	1	20
PLC00002013	3/13/2019	Health	A	1	1	17
PLC00009410	2/20/2018	Travel	A	1	0	12
PLC00000217	10/6/2016	Mobile	A	1	0	15
PLC00008234	10/23/2010	Property	A	0	0	16
PLC00001946	1/23/2016	Mobile	A	0	0	5
PLC00009825	12/7/2016	Health	D	1	0	19
PLC00008879	8/21/2019	Life	A	1	1	13
PLC00000356	8/20/2014	Mobile	A	1	1	4
PLC00004148	2/26/2016	Property	A	1	1	3
PLC00008422	6/21/2011	Property	A	1	1	14
PLC00003420	5/7/2019	Property	A	1	1	21
PLC00009651	7/17/2015	Life	A	1	0	16
PLC00003868	5/7/2015	Life	A	1	1	13
PLC00003870	6/28/2011	Travel	A	1	1	23
PLC00004140	4/16/2017	Motor	A	0	1	11
PLC00007623	11/28/2013	Life	A	0	1	7
PLC00003536	9/16/2012	Life	D	0	1	15
PLC00001836	7/4/2013	Mobile	A	1	1	21
PLC00006720	7/13/2014	Health	D	1	1	20
PLC00003336	8/3/2017	Travel	A	1	0	2
PLC00000436	5/1/2013	Mobile	A	1	1	4
PLC00007613	10/7/2010	Motor	D	1	1	16
PLC00008388	10/20/2019	Mobile	A	1	1	19
PLC00009088	12/7/2012	Health	A	1	1	1
PLC00000116	11/25/2016	Health	A	1	1	15
PLC00000811	4/20/2018	Motor	A	0	0	11
PLC00007802	5/15/2019	Travel	A	1	0	0
PLC00002156	3/15/2015	Life	A	1	1	4
PLC00008442	9/1/2016	Mobile	A	1	0	21
PLC00002195	1/2/2012	Travel	A	1	1	5
PLC00005462	7/1/2014	Life	A	0	0	11
PLC00001154	5/8/2019	Mobile	A	1	1	10
PLC00009133	1/25/2020	Property	A	1	1	16
PLC00005076	11/11/2013	Life	A	1	1	22
PLC00008677	6/14/2011	Health	D	1	1	20
PLC00001104	6/29/2011	Mobile	A	1	1	16
PLC00007842	9/22/2011	Life	A	1	0	13
PLC00003100	2/16/2013	Health	A	1	1	10
PLC00000962	10/21/2012	Mobile	A	0	1	10
PLC00005062	5/30/2019	Travel	D	1	1	14
PLC00006653	3/15/2013	Mobile	A	0	1	8
PLC00009592	11/14/2018	Travel	A	1	1	8
PLC00004167	4/23/2016	Health	A	0	1	9
PLC00005884	9/20/2016	Life	A	1	1	0
PLC00005366	11/17/2014	Health	A	1	1	16
PLC00004094	3/27/2018	Motor	A	1	0	3
PLC00009628	3/28/2016	Health	A	0	1	1
PLC00004807	8/26/2012	Motor	A	1	0	6
PLC00006375	7/8/2010	Health	A	1	0	23
PLC00000557	1/16/2014	Motor	A	0	1	16
PLC00001231	3/17/2016	Travel	A	1	1	6
PLC00007458	9/11/2018	Life	A	1	1	19
PLC00002719	4/11/2015	Motor	D	0	1	3
PLC00007597	2/10/2011	Mobile	A	0	1	14
PLC00003052	11/16/2010	Mobile	A	1	1	20
PLC00007196	5/18/2013	Motor	A	0	0	2
PLC00002955	2/18/2018	Motor	A	1	1	20
PLC00002372	5/3/2014	Health	A	1	1	14
PLC00008588	10/3/2012	Travel	A	1	1	19
PLC00001905	2/7/2013	Motor	A	1	1	18
PLC00005765	6/13/2014	Mobile	A	1	0	8
PLC00004818	9/30/2019	Mobile	A	1	1	21
PLC00008058	6/27/2019	Mobile	A	0	0	9
PLC00005029	10/22/2015	Travel	A	0	0	11
PLC00005584	6/14/2012	Motor	A	1	1	17
PLC00005337	9/5/2015	Property	A	1	1	9
PLC00007124	6/21/2016	Health	A	1	1	18
PLC00006189	7/12/2015	Mobile	A	0	1	6
PLC00005207	6/26/2017	Travel	A	1	1	23
PLC00006005	1/8/2015	Travel	A	0	1	15
PLC00001713	6/21/2015	Mobile	D	1	0	13
PLC00001738	1/27/2013	Motor	A	1	1	8
PLC00008147	1/20/2015	Mobile	A	1	1	5
PLC00008427	6/24/2013	Life	A	1	1	2
PLC00005064	6/11/2011	Mobile	A	1	1	16
PLC00003130	6/16/2011	Life	A	1	1	10
PLC00004746	8/31/2015	Life	A	1	1	0
PLC00005604	7/3/2010	Property	A	0	1	13
PLC00008759	8/15/2019	Life	A	0	1	10
PLC00006873	6/1/2018	Property	A	1	0	23
PLC00006953	10/5/2019	Health	A	1	0	5
PLC00002600	5/8/2012	Property	A	0	0	2
PLC00009720	4/12/2018	Life	A	1	1	6
PLC00006809	9/13/2012	Life	A	1	0	15
PLC00007215	6/23/2017	Health	A	0	1	21
PLC00002398	4/8/2019	Travel	A	1	1	19
PLC00008906	8/6/2017	Health	D	1	1	4
PLC00003653	12/16/2013	Motor	A	0	1	21
PLC00004304	9/17/2010	Mobile	A	0	1	10
PLC00007823	5/18/2018	Travel	A	1	1	6
PLC00005135	4/25/2011	Life	A	1	0	4
PLC00002472	1/22/2016	Mobile	A	1	1	17
PLC00007467	8/23/2010	Mobile	A	1	1	19
PLC00003223	10/25/2017	Health	A	1	0	15
PLC00006900	10/16/2015	Health	A	1	0	21
PLC00001660	6/8/2018	Life	A	0	1	23
PLC00008561	12/22/2018	Property	A	0	1	11
PLC00007351	1/1/2011	Travel	A	0	1	10
PLC00009415	11/2/2012	Travel	A	0	0	12
PLC00002435	4/7/2014	Life	A	1	0	5
PLC00006424	3/16/2013	Property	A	1	1	8
PLC00001186	6/11/2014	Health	D	1	0	14
PLC00001632	3/7/2012	Motor	A	1	0	17
PLC00000948	12/30/2016	Property	A	0	1	12
PLC00003030	11/9/2019	Health	A	1	0	1
PLC00009506	8/27/2017	Mobile	A	1	0	21
PLC00009165	1/21/2018	Mobile	A	1	1	15
PLC00004292	10/26/2014	Mobile	A	1	1	20
PLC00002350	8/20/2011	Property	A	0	1	16
PLC00007653	6/11/2015	Health	A	0	1	7
PLC00008096	11/26/2012	Motor	A	1	0	19
PLC00009758	8/7/2016	Travel	A	1	0	4
PLC00000198	2/8/2015	Life	A	0	0	19
PLC00007410	9/28/2017	Mobile	A	1	0	20
PLC00007862	2/28/2015	Travel	A	1	0	12
PLC00004212	5/2/2012	Mobile	A	1	0	9
PLC00003019	10/14/2018	Property	A	1	0	9
PLC00000454	2/6/2018	Health	A	1	1	22
PLC00002999	6/11/2014	Health	A	1	0	16
PLC00006679	10/11/2011	Property	A	1	1	5
PLC00009974	2/15/2014	Mobile	A	1	0	5
PLC00008335	11/2/2011	Life	A	0	1	20
PLC00005900	5/29/2016	Health	A	1	1	3
PLC00000752	5/30/2011	Travel	A	0	0	5
PLC00005575	9/11/2010	Mobile	A	1	0	17
PLC00009931	9/28/2017	Life	A	1	1	22
PLC00000053	6/21/2015	Health	A	1	0	11
PLC00000945	2/22/2011	Motor	D	1	1	3
PLC00008469	7/15/2013	Property	A	1	0	3
PLC00009183	4/30/2014	Health	A	1	1	1
PLC00009538	8/1/2014	Travel	A	1	0	12
PLC00007336	3/16/2018	Mobile	A	1	1	2
PLC00001926	7/28/2017	Health	A	0	1	14
PLC00005121	10/15/2011	Mobile	A	1	0	10
PLC00008529	11/7/2018	Life	A	1	0	10
PLC00008354	6/13/2012	Mobile	D	0	1	2
PLC00001864	6/2/2019	Motor	A	1	0	9
PLC00004041	4/29/2011	Property	A	1	1	6
PLC00003982	1/8/2018	Mobile	A	1	0	8
PLC00001619	5/8/2013	Health	A	0	0	15
PLC00003486	1/8/2018	Health	A	0	0	4
PLC00008206	1/27/2020	Property	A	1	1	18
PLC00005139	9/1/2015	Mobile	A	0	1	9
PLC00000229	11/2/2015	Life	A	0	0	0
PLC00005583	5/22/2017	Health	A	1	1	14
PLC00002766	4/13/2012	Mobile	A	1	1	15
PLC00002412	1/15/2020	Property	A	0	0	12
PLC00000347	4/10/2017	Motor	A	1	1	10
PLC00009395	12/18/2019	Travel	A	1	1	2
PLC00007890	4/22/2018	Property	A	1	0	21
PLC00000343	8/7/2015	Travel	A	0	0	4
PLC00007655	8/18/2015	Property	A	0	0	4
PLC00001910	11/27/2016	Property	A	1	0	8
PLC00004722	12/3/2012	Life	A	1	0	11
PLC00006002	4/22/2017	Mobile	A	0	0	13
PLC00008372	3/11/2016	Health	A	0	1	4
PLC00003951	2/16/2019	Property	A	1	1	7
PLC00000919	2/23/2016	Property	A	0	1	15
PLC00000155	10/28/2017	Life	A	0	1	19
PLC00008711	12/11/2016	Motor	A	1	1	18
PLC00008214	12/22/2010	Motor	A	1	1	2
PLC00000847	10/12/2018	Health	A	1	0	18
PLC00005808	6/16/2014	Mobile	A	1	0	4
PLC00004237	9/4/2013	Travel	D	1	1	21
PLC00009662	6/15/2018	Property	A	0	1	21
PLC00004514	4/17/2017	Health	A	0	0	0
PLC00008597	1/19/2017	Travel	A	1	1	14
PLC00000441	4/3/2012	Life	A	0	1	22
PLC00007423	7/21/2011	Health	A	0	1	15
PLC00007478	5/15/2013	Travel	A	1	0	6
PLC00004343	1/14/2020	Life	A	0	1	4
PLC00006681	3/19/2014	Motor	A	0	1	11
PLC00006565	2/19/2016	Health	A	1	1	22
PLC00003727	4/12/2019	Mobile	A	1	1	4
PLC00001078	4/4/2017	Travel	A	1	1	2
PLC00000555	6/13/2011	Health	A	1	0	15
PLC00009472	7/9/2016	Travel	A	1	1	12
PLC00003874	9/24/2010	Motor	A	1	1	17
PLC00002540	3/17/2011	Motor	A	1	0	4
PLC00009554	1/14/2020	Property	A	1	1	3
PLC00009411	6/5/2013	Life	A	0	1	11
PLC00005024	6/10/2019	Property	A	0	0	13
PLC00004049	11/11/2010	Health	A	1	1	20
PLC00001787	9/10/2019	Travel	D	0	0	0
PLC00006328	9/13/2013	Motor	A	1	1	18
PLC00002164	10/20/2019	Travel	A	1	1	0
PLC00003615	4/29/2011	Property	D	1	1	10
PLC00006183	11/25/2019	Property	A	1	0	16
PLC00009951	11/13/2016	Motor	D	1	1	21
PLC00008410	8/11/2016	Mobile	A	1	1	4
PLC00008330	8/12/2013	Health	D	1	0	3
PLC00007144	7/31/2019	Travel	A	1	1	14
PLC00009596	1/28/2020	Motor	A	1	1	8
PLC00007225	1/25/2018	Health	A	1	1	11
PLC00006420	4/21/2017	Life	A	0	1	8
PLC00009069	10/18/2012	Life	A	0	1	19
PLC00001866	1/3/2013	Mobile	D	0	1	6
PLC00003008	10/21/2018	Property	A	1	1	7
PLC00009268	4/23/2015	Mobile	A	1	1	12
PLC00003029	11/5/2018	Life	A	0	1	11
PLC00000771	3/15/2011	Property	A	1	1	21
PLC00008756	2/21/2017	Mobile	A	0	1	23
PLC00000122	3/11/2017	Life	A	0	0	19
PLC00005641	1/31/2011	Health	A	1	1	14
PLC00009012	11/10/2019	Life	A	1	0	12
PLC00002100	6/20/2017	Travel	A	1	1	9
PLC00006464	6/9/2010	Travel	A	1	1	17
PLC00008563	12/3/2010	Motor	A	1	1	4
PLC00005540	8/23/2015	Mobile	A	0	0	11
PLC00001917	10/3/2016	Travel	A	1	1	1
PLC00003393	9/17/2012	Motor	A	1	1	0
PLC00008686	11/14/2010	Mobile	A	0	1	3
PLC00007560	5/12/2017	Health	A	0	1	18
PLC00009999	10/23/2010	Mobile	A	1	0	9
PLC00003105	6/18/2017	Mobile	A	1	0	4
PLC00008111	5/6/2015	Travel	A	1	1	18
PLC00005308	12/13/2013	Health	A	1	0	23
PLC00001283	1/26/2014	Property	A	1	0	10
PLC00001636	1/9/2018	Health	A	0	1	15
PLC00004961	3/14/2012	Motor	A	0	1	12
PLC00000875	4/26/2014	Mobile	A	1	0	14
PLC00004336	1/11/2018	Mobile	A	1	1	23
PLC00008284	10/11/2014	Travel	A	0	1	9
PLC00007316	12/28/2015	Health	A	1	1	5
PLC00001652	12/11/2015	Motor	A	0	0	7
PLC00008889	1/18/2013	Travel	A	0	1	22
PLC00004674	12/5/2016	Travel	A	1	1	8
PLC00001810	9/2/2019	Motor	A	1	0	0
PLC00000493	8/27/2013	Property	A	1	0	23
PLC00001487	11/4/2013	Travel	A	1	1	22
PLC00004169	5/22/2014	Health	A	1	1	22
PLC00002777	6/16/2013	Travel	A	0	0	22
PLC00005072	6/10/2016	Health	A	1	0	17
PLC00004208	6/23/2011	Property	A	1	1	13
PLC00002559	8/21/2015	Travel	A	1	1	2
PLC00000237	9/10/2018	Property	A	1	1	18
PLC00001403	5/18/2014	Health	A	1	0	12
PLC00006715	9/9/2013	Travel	A	1	1	0
PLC00000859	11/11/2018	Property	D	1	0	21
PLC00002870	8/4/2016	Property	A	0	1	2
PLC00002903	3/17/2018	Travel	A	0	1	2
PLC00006964	1/28/2012	Life	A	0	0	1
PLC00005585	1/9/2018	Life	A	0	0	1
PLC00009081	5/7/2015	Property	A	1	0	16
PLC00008472	5/9/2016	Health	A	1	1	23
PLC00009607	5/7/2017	Life	A	0	1	12
PLC00005361	9/6/2012	Mobile	A	0	1	7
PLC00004196	10/26/2016	Health	A	1	0	23
PLC00005644	6/29/2010	Health	A	1	1	17
PLC00002789	10/18/2019	Travel	A	1	0	14
PLC00001451	3/24/2012	Mobile	A	1	0	11
PLC00009865	7/29/2019	Travel	D	1	1	9
PLC00000654	7/13/2014	Health	A	0	1	6
PLC00005685	4/2/2017	Health	A	0	1	16
PLC00000514	3/20/2015	Health	A	1	1	11
PLC00001063	9/14/2019	Travel	A	0	0	12
PLC00005235	7/22/2015	Property	A	0	1	18
PLC00008913	12/2/2015	Life	A	0	1	0
PLC00003660	6/10/2010	Property	A	1	1	6
PLC00004235	12/26/2010	Mobile	A	1	1	2
PLC00007652	1/31/2017	Travel	A	1	0	4
PLC00000677	5/14/2012	Health	A	1	0	23
PLC00000834	6/19/2017	Life	A	1	1	4
PLC00004873	2/14/2014	Property	A	0	1	12
PLC00006665	6/25/2010	Life	A	0	1	6
PLC00007168	12/10/2016	Health	A	1	0	3
PLC00004339	11/9/2012	Property	A	0	1	4
PLC00001726	5/11/2011	Life	A	1	1	1
PLC00003791	12/25/2013	Motor	A	0	1	3
PLC00002016	12/14/2017	Travel	A	0	1	0
PLC00002800	9/4/2014	Mobile	A	1	1	0
PLC00001844	4/20/2013	Property	A	1	1	20
PLC00000247	9/24/2013	Health	A	0	1	16
PLC00002191	3/6/2018	Property	A	1	0	15
PLC00004648	9/24/2019	Life	A	1	1	19
PLC00009026	11/18/2015	Travel	A	1	0	19
PLC00003796	12/20/2019	Health	A	1	1	9
PLC00006055	3/15/2019	Life	A	1	1	17
PLC00001077	5/15/2018	Mobile	A	1	1	9
PLC00007099	9/14/2011	Travel	A	0	1	20
PLC00005565	11/8/2019	Life	A	1	0	21
PLC00008996	1/31/2016	Motor	A	1	1	5
PLC00007068	8/29/2017	Mobile	A	1	0	10
PLC00007594	1/13/2015	Life	A	0	0	21
PLC00003408	10/6/2017	Property	A	1	1	14
PLC00001276	11/8/2017	Mobile	A	1	1	22
PLC00004503	11/24/2012	Life	A	1	0	1
PLC00001992	12/2/2013	Property	A	1	0	7
PLC00005031	4/19/2012	Mobile	A	1	1	15
PLC00003967	10/5/2013	Motor	A	1	1	8
PLC00005021	8/1/2015	Mobile	A	1	1	7
PLC00009417	7/29/2010	Property	A	1	1	6
PLC00005486	10/26/2017	Mobile	A	1	1	13
PLC00004690	10/6/2013	Property	A	0	0	16
PLC00006011	11/15/2010	Health	A	1	0	19
PLC00007840	2/13/2016	Travel	A	1	1	12
PLC00003985	11/27/2018	Life	A	0	1	16
PLC00003341	5/28/2014	Motor	A	1	0	15
PLC00004991	7/22/2014	Life	A	1	0	6
PLC00004271	3/3/2018	Travel	A	1	1	1
PLC00004357	7/21/2011	Travel	A	1	1	23
PLC00004948	10/20/2013	Life	A	1	1	19
PLC00000018	7/30/2018	Life	A	0	1	10
PLC00005519	6/1/2012	Health	A	0	0	13
PLC00007071	8/31/2018	Travel	A	1	1	7
PLC00007000	5/10/2016	Health	A	1	1	4
PLC00002601	2/5/2015	Health	A	1	1	20
PLC00007366	6/2/2010	Life	A	1	1	16
PLC00005323	10/8/2011	Life	A	0	1	5
PLC00008281	5/6/2013	Property	A	1	0	7
PLC00000417	2/20/2012	Life	A	1	1	20
PLC00007985	1/3/2018	Health	A	1	1	0
PLC00001378	8/20/2018	Travel	A	0	0	23
PLC00006949	9/26/2010	Property	A	1	1	13
PLC00009559	11/20/2017	Travel	A	1	0	11
PLC00003513	7/23/2014	Travel	A	0	0	11
PLC00009408	1/9/2015	Property	A	1	1	6
PLC00004848	9/18/2012	Motor	A	1	1	21
PLC00003846	3/2/2019	Travel	A	1	1	12
PLC00002711	7/31/2016	Life	A	1	0	23
PLC00004199	8/17/2016	Health	A	1	1	0
PLC00006308	1/16/2017	Mobile	A	0	0	1
PLC00008014	7/4/2013	Life	A	1	0	13
PLC00000955	10/13/2011	Health	A	1	1	8
PLC00006279	8/3/2012	Life	A	0	0	9
PLC00000800	5/13/2016	Travel	A	1	1	4
PLC00001372	2/4/2019	Life	A	0	0	2
PLC00008159	5/8/2012	Mobile	A	0	0	11
PLC00007497	3/4/2019	Mobile	A	0	0	8
PLC00002767	6/23/2014	Travel	A	1	0	4
PLC00000154	7/4/2017	Property	A	1	0	9
PLC00003927	1/2/2018	Travel	D	1	1	18
PLC00007360	12/29/2016	Property	A	0	0	12
PLC00004501	3/4/2013	Motor	A	0	1	19
PLC00007830	12/26/2014	Property	A	1	1	3
PLC00002897	8/11/2014	Health	A	0	1	6
PLC00009608	6/5/2013	Health	A	1	1	1
PLC00008387	10/18/2013	Mobile	A	1	1	6
PLC00000216	10/31/2019	Life	A	1	0	0
PLC00003861	3/2/2015	Mobile	A	1	1	6
PLC00004613	11/7/2015	Travel	A	1	1	13
PLC00005957	3/5/2016	Life	A	0	1	22
PLC00002778	12/11/2014	Travel	A	0	1	18
PLC00003191	3/9/2011	Mobile	A	1	0	19
PLC00001146	10/7/2013	Travel	A	1	1	20
PLC00000953	9/17/2015	Motor	A	0	1	15
PLC00006724	8/26/2012	Motor	A	0	0	17
